code,title,Availabilities,Curriculum,RulesPrereqs,RulesPrereqsList,RulesCoreqs,RulesCoreqsList,RulesIncomps,RulesPrereqsList
PHYL2002,"Cellular Physiology",160200,"MJD-PHYGY Physiology (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-NEURS Neuroscience (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Biomedical [Active]; 
MJD-HSANP Human Sciences (Anatomy and Physiology) (BHumSc|*|) as core [Active]; 
MJD-BCNDM Biochemistry of Nutrition (BSc|*|) as core [Active]; 
MJD-EBMEG Biomedical Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-HSNEM Human Science and Neuroscience (BHumSc|*|) as core [Active]; 
MJD-MEDSI Medical Science (BBM|*|) as core in Physiology [Active]; 
MJD-PHEAL Pharmaceutical Health (BHumSc|*|) as option [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as conversion in Neuroscience [Active];",Nil.,203960;203961;203962;203963;203964;203965,Nil.,7681,"PHYL2245 Physiology of Cells",203960;203961;203962;203963;203964;203965
ECON1101,"Microeconomics: Prices and Markets",162424;162425;162426,"CB006 Bachelor of Engineering (Honours)/ Bachelor of Commerce as core [Active]; 
CB017 Bachelor of Philosophy, Politics and Economics and Bachelor of Commerce as core [Active]; 
CB023 Bachelor of Human Rights and Bachelor of Commerce as core [Active]; 
CB027 Bachelor of Modern Languages and Bachelor of Commerce as core [Active]; 
CB048 Bachelor of Media and Communication and Bachelor of Commerce as core [Active]; 
MJD-ECNSM Business Economics (BCom|*|) as core [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-PPECN Philosophy, Politics and Economics (BA|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as core [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active]; 
BP002 Bachelor of Commerce () as core [Active]; 
BW002 Bachelor of Commerce (Professional) () as core [Proposed];",Nil.,,Nil.,,"ECON1000 Economics for Business",
ECON1102,"Macroeconomics: Money and Finance",159619;159620;159621,"MJD-ECNSM Business Economics (BCom|*|) as core [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as core [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active];",Nil,,Nil,,Nil,
ECON2233,"Microeconomics: Policy and Applications",162427,"MJD-ECNSM Business Economics (BCom|*|) as core [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-PPECN Philosophy, Politics and Economics (BA|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as core [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active];","ECON1101 Microeconomics: Prices and Markets",114708;114709,Nil.,114710,Nil.,114708;114709
ECON2234,"Macroeconomics: Policy and Applications",162428,"MJD-ECNSM Business Economics (BCom|*|) as core [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active];","ECON1102 Macroeconomics: Money and Finance",116221;116222,Nil.,,Nil.,116221;116222
ECON2271,"Introductory Econometrics",162429,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active]; 
MJD-BUSAN Business Analytics (BCom|*|) as core [Active];","STAT1520 Economic and Business Statistics or equivalent; ECON1111 or equivalent.",272082;272083,Nil.,,Nil.,272082;272083
ECON3310,"History of Economic Ideas",162430,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-PPECN Philosophy, Politics and Economics (BA|*|) as complementary [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active];","ECON2233 Microeconomics: Policy and Applications; <i>for pre-2012 courses</i>: none",,Nil,,Nil,
ECON3350,"Money, Banking and Financial Markets",162431,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active];","ECON2234 Macroeconomics: Policy and Applications (or equivalent) or any Level 2 Finance unit; <i>for pre-2012 courses</i>: ECON1102 Macroeconomics: Money and Finance (or equivalent)",,Nil.,,Nil.,
ECON3371,"Applied Econometric Methods and Data Analysis",160346,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active]; 
MJD-BUSAN Business Analytics (BCom|*|) as option [Active];","ECON2271 Introductory Econometrics",,Nil,,Nil.,
ECON1111,"Quantitative Methods for Business and Economics",162432,"MJD-QTMTD Quantitative Methods (BSc|*|) as option [Active]; 
MJD-ECNSM Business Economics (BCom|*|) as bridging [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as bridging [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as bridging [Active]; 
MJD-BUSAN Business Analytics (BCom|*|) as bridging [Active];","Mathematics Applications (ATAR) or WACE Mathematics 2C/2D or TEE Discrete Mathematics or MATH0700 Preparatory Mathematics",,Nil,,"Mathematics Methods (ATAR) or higher; WACE Mathematics 3A/3B or higher; TEE Applicable Mathematics; TEE Calculus; or MATH1701 Introductory Mathematics Foundations",
ECON2105,"Rise of the Global Economy",171718,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-PPECN Philosophy, Politics and Economics (BA|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active]; 
MJD-GLBUS Global Business (BBus|*|) as core [Active];","ECON1101 Microeconomics: Prices and Markets or ECON1000 Economics for Business or BUSN1103 Foundations of Global Business",114712;114713;114714;114715,Nil.,114716,"ECON1105 Rise of the Global Economy",114712;114713;114714;114715
ECON3220,"Development Economics",159776,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active];","Completion of at least two Level 2 units in the Economics or Professional Economics majors.",272110;272111;272112,Nil.,,Nil.,272110;272111;272112
ECON3235,"International Trade",159280,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as option [Active];","Any two Level 2 economics units in the Economics or Professional Economics majors.",272123;272124;272125,Nil.,,"ECON2235 International Trade",272123;272124;272125
ECON3236,"International Finance",159637,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-FINCE Finance (BCom|*|) as option [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as core [Active];","ECON2234 Macroeconomics: Policy and Applications or any Level 2 Finance unit; <i>for pre-2012 courses</i>: none",,Nil.,,"ECON2236 International Finance",
ECON3395,"Economic Policy",162433,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-PPECN Philosophy, Politics and Economics (BA|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active];","ECON2233 Microeconomics: Policy and Applications",,Nil.,,Nil.,
PHAR2210,"Foundations of Pharmacology",158626,"MJD-PHARY Pharmacology (BBiomedSc|*|) as core [Drafted from 2026]; 
MJD-BIOMS Biomedical Science (BSc|*|) as core [Active]; 
MJD-HSANP Human Sciences (Anatomy and Physiology) (BHumSc|*|) as core [Active]; 
MJD-MEDSI Medical Science (BBM|*|) as core in Pharmacology & Toxicology [Active]; 
MJD-PHEAL Pharmaceutical Health (BHumSc|*|) as core [Active];","(CHEM1002 Chemistry—Structure and Reactivity or CHEM1004 Biological Chemistry) and SCIE1106 Molecular Biology of the Cell; or (IMED1001 Form and Function and IMED1002 The Facts of Life)",118195;118196;118197;118198;118199;118200;118201;118202;118203;118204;118205;118206;118207;118208;118209;118210;118211;118212;118213,Nil.,,Nil,118195;118196;118197;118198;118199;118200;118201;118202;118203;118204;118205;118206;118207;118208;118209;118210;118211;118212;118213
HRMT2237,"Human Resource Management",162434,"MJD-MGMNT Management (BCom|*|) as option [Active]; 
MJD-HRSMT Human Resource Management (BCom|*|) as core [Active]; 
MJD-BMGMT Business Management (BBus|*|) as core [Active]; 
MJD-HOSPB Hospitality Management (BBus|*|) as core [Active];","MGMT1135 Organisational Behaviour or MGMT1136 Management and Organisations or EMPL1101 Introduction to Employment Relations or EMPL2202 Australian Employment Relations",114777;114778;114779;114780;114781;114782,Nil.,114783,Nil.,114777;114778;114779;114780;114781;114782
HRMT3344,"Staffing Organisations",162435,"MJD-HRSMT Human Resource Management (BCom|*|) as core [Active];","HRMT2237 Human Resource Management",,Nil.,,Nil.,
HRMT3345,"Managing Jobs, Performance and Wellbeing",162436,"MJD-HRSMT Human Resource Management (BCom|*|) as core [Active];","HRMT2237 Human Resource Management",,Nil.,,Nil.,
INMT2232,"Project Management",162437;162438,"MJD-MGMNT Management (BCom|*|) as option [Active]; 
MJD-BMGMT Business Management (BBus|*|) as core [Active];","MGMT1135 Organisational Behaviour or MGMT1136 Management and Organisations",114785;114786;114787;114788,Nil.,114789,Nil.,114785;114786;114787;114788
EMPL1101,"Employment Relations, Work and Society",162439,"MJD-WKERL Work and Employment Relations (BA) as core [Active];",Nil.,,Nil.,,"IREL1101/2201 Foundations of Employment Relations",
MGMT1135,"Organisational Behaviour",162440;162441;162442,"CB006 Bachelor of Engineering (Honours)/ Bachelor of Commerce as core [Active]; 
CB017 Bachelor of Philosophy, Politics and Economics and Bachelor of Commerce as core [Active]; 
CB023 Bachelor of Human Rights and Bachelor of Commerce as core [Active]; 
CB027 Bachelor of Modern Languages and Bachelor of Commerce as core [Active]; 
CB048 Bachelor of Media and Communication and Bachelor of Commerce as core [Active]; 
MJD-MGMNT Management (BCom|*|) as core [Active]; 
MJD-HRSMT Human Resource Management (BCom|*|) as core [Active]; 
MNR-PEPIH Professional Engagement and Practice in Health () as core [Active]; 
BP002 Bachelor of Commerce () as core [Active]; 
BW002 Bachelor of Commerce (Professional) () as core [Proposed];",Nil.,,Nil.,,"MGMT2235 Organisational Behaviour",
MGMT1136,"Management and Organisations",162443;162444;162445,"MJD-MGMNT Management (BCom|*|) as core [Active]; 
MJD-HRSMT Human Resource Management (BCom|*|) as core [Active]; 
MJD-BMGMT Business Management (BBus|*|) as core [Active]; 
MJD-ENTIN Enterprise and Innovation (BBus|*|) as core [Active]; 
MJD-GLBUS Global Business (BBus|*|) as core [Active]; 
MJD-HOSPB Hospitality Management (BBus|*|) as core [Active];",Nil.,,Nil.,,"MGMT2236 Management and Organisations",
MGMT3342,Entrepreneurship,162446;162447,"MJD-MRKTG Marketing (BCom|*|) as option [Active]; 
MJD-MGMNT Management (BCom|*|) as option [Active from 2026];","any two Level 2 units in the Management major or Marketing major; <i>for pre-2012 courses</i>: none",,Nil.,,Nil.,
MGMT3346,"Managing Organisational Change",162448;162449,"MJD-MGMNT Management (BCom|*|) as option [Active];","any two Level 2 units in the Management major",,Nil.,,Nil.,
MGMT3347,"Strategic Management",162450;162451,"MJD-MGMNT Management (BCom|*|) as core [Active from 2026]; 
MJD-MGMNT Management (BCom|*|) as option [Active]; 
MJD-BMGMT Business Management (BBus|*|) as core [Active]; 
MJD-HOSPB Hospitality Management (BBus|*|) as core [Active];","any two Level 2 units in the Management major or HRMT2237 Human Resource Management and INMT2232 Project Management",,Nil.,,Nil.,
EMPL2202,"Australian Employment Relations",162452,"MJD-HRSMT Human Resource Management (BCom|*|) as core [Active]; 
MJD-WKERL Work and Employment Relations (BA|*|) as core [Active];","EMPL1101 Introduction to Employment Relations; EMPL1206 Social Psychology of Work; MGMT1135 Organisational Behaviour; or MGMT1136 Management and Organisations; <i>for pre-2012 courses</i>: a Level 1 Management or Employment Relations unit",114791;114792;114793;114794;114795;114796,Nil.,114797,"EMPL1102 Australian Employment Relations",114791;114792;114793;114794;114795;114796
EMPL1206,"Social Psychology of Work",162453,"MJD-WKERL Work and Employment Relations (BA) as core [Active];",Nil.,,Nil.,,"EMPL2206 Social Psychology of Work",
PHYS5405,"Radiation Safety",162454,"52330 Graduate Diploma in Work Health and Safety as core [Active]; 
74530 Master of Work Health and Safety (coursework or coursework and dissertation) as core [Active] [unique];","enrolment in the Graduate Diploma In Work Health and Safety (52330); Physics ATAR or WACE Physics 3A/3B or TEE Physics or PHYS1021 Applied Physics A or PHYS1022 Applied Physics B, or equivalent",250897;250898;250899;250900;250901;250902;250903;250904;250905,"If prerequisites are lacking, then co-enrolment in PHYS1021 Applied Physics A.",32137,Nil.,250897;250898;250899;250900;250901;250902;250903;250904;250905
CITS2200,"Data Structures and Algorithms",160058,"MJD-CMPSC Computer Science (BSc|*|) as core [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Software Engineering [Active]; 
MJD-ICYDM International Cybersecurity (BACS|*|) as core [Active]; 
MJD-CDSDM Computing and Data Science (BACS|*|) as core [Active]; 
MJD-ATRDM Automation and Robotics (BAR|*|) as core [Active]; 
MJD-ARIDM Artificial Intelligence (BACS|*|) as core [Active]; 
MJD-EAUTO Automation and Robotics Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-EBMEG Biomedical Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-ESOFT Software Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-QCOMP Quantum Computing (BACS|*|) as core [Active];","CITS1001 Software Engineering with Java and (Mathematics Methods ATAR or MATH1721 Mathematics Foundations: Methods or equivalent or higher)",157024;157025;157026;157027;157028;157029;157030;157031,Nil.,41576,Nil.,157024;157025;157026;157027;157028;157029;157030;157031
CITS3002,"Computer Networks",162455,"MJD-CMPSC Computer Science (BSc|*|) as core [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Software Engineering [Active]; 
MJD-ICYDM International Cybersecurity (BACS|*|) as core [Active]; 
MJD-CDSDM Computing and Data Science (BACS|*|) as core [Active]; 
MJD-ARIDM Artificial Intelligence (BACS|*|) as core [Active]; 
MJD-CYBER Cybersecurity (BSc|*|) as core [Active]; 
MJD-ESOFT Software Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-QCOMP Quantum Computing (BACS|*|) as core [Active];","CITS1002 Programming and Systems <strong>or</strong> CITS2002 Programming and Systems",238268,Nil.,41508,"CITS3230 Computer Networks, CITS3231 Security and Privacy",238268
CITS3003,"Graphics and Animation",162456,"MJD-CMPSC Computer Science (BSc|*|) as option [Active]; 
MJD-ICYDM International Cybersecurity (BACS|*|) as option [Active]; 
MJD-CDSDM Computing and Data Science (BACS|*|) as option [Active]; 
MJD-ARIDM Artificial Intelligence (BACS|*|) as option [Active]; 
MJD-QCOMP Quantum Computing (BACS|*|) as option [Active];","CITS1001 Software Engineering with Java or CITS2002 Programming and Systems or equivalent",120790;120791;120792;120793,Nil.,41500,"CITS2231 Graphics, CITS4242 Game Design and Multimedia",120790;120791;120792;120793
EMPL3208,"Managing Diversity",158175,"MJD-WKERL Work and Employment Relations (BA|*|) as core [Active]; 
MJD-GNWST Gender Studies (BA|*|) as option [Active];","24 points of study at any level, including at least 12 points of Bachelor of Commerce units",,Nil.,,"EMPL2208 Managing Diversity",
PSYC2217,"Cognitive Neuroscience",158730,"MJD-NEURS Neuroscience (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-PSYSC Psychological Science (BSc|*|) as core [Active]; 
MJD-PSYDM Psychology (BPsych|*|) as core [Active]; 
MJD-PSYCH Psychological and Behavioural Sciences (BA|*|BSc|*|) as core [Active]; 
MJD-HSNEM Human Science and Neuroscience (BHumSc|*|) as core [Active];","PSYC1101 Psychology: Mind and Brain or PSYC1102 Psychology: Behaviour in Context",53432;53433,Nil.,11259,"PSYC3317 Cognitive Neuroscience",53432;53433
PATH2220,"Introduction to Human Disease",160857,"MJD-BIOMS Biomedical Science (BSc|*|) as complementary [Active];","ANHB1102 Human Biology II: Being Human and SCIE1106 Molecular Biology of the Cell OR IMED1001 Form and Function and IMED1002 The Facts of Life",112952;112953;112954;112955;112956;112957;112958;112959;112960,Nil.,6952,"PATH2201 Introduction to Human Disease, or PATH2299 Special Unit: Fundamentals of Pathology and Laboratory Medicine",112952;112953;112954;112955;112956;112957;112958;112959;112960
EMPL3241,"International Employment Relations",162457,"MJD-HRSMT Human Resource Management (BCom|*|) as core [Active]; 
MJD-WKERL Work and Employment Relations (BA|*|) as core [Active];","EMPL2202 Australian Employment Relations",,Nil.,,"EMPL2241 International Employment Relations",
EMPL3270,"Negotiation: Theory and Practice",162458,"MJD-MGMNT Management (BCom|*|) as option [Active]; 
MJD-HRSMT Human Resource Management (BCom|*|) as core [Active]; 
MJD-WKERL Work and Employment Relations (BA|*|) as core [Active];","any two Level 2 units in the Human Resource Management major, Management major or Work and Employment Relations major",,Nil.,,"EMPL2270 International Employment Relations",
MGMT2311,"Organisational Learning and Innovation",162459,"MJD-MGMNT Management (BCom|*|) as option [Active from 2024]; 
MJD-ENTIN Enterprise and Innovation (BBus|*|) as core [Active];","MGMT1135 Organisational Behaviour or MGMT1136 Management and Organisations or equivalent",114799;114800;114801;114802,Nil.,114803,"MGMT3311 Organisational Learning and Innovation",114799;114800;114801;114802
ECON3302,"Applied Microeconomics",159638,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as option [Active];","ECON2233 Microeconomics: Policy and Applications or equivalent",,Nil.,,"ECON3364 Microeconomic Theory",
PSYC1102,"Psychology: Behaviour in Context",162460;162461,"MJD-PSYSC Psychological Science (BSc|*|) as core [Active]; 
MJD-PSYSO Psychology in Society (BA|*|) as core [Active]; 
MJS-SCCOM Science Communication (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-PSYDM Psychology (BPsych|*|) as core [Active]; 
MJD-HHMED Humanities in Health and Medicine (BBiomedSc|*|) as option [Active]; 
MJD-CRIMN Criminology (BA|*|) as option [Active]; 
MJD-PSYCH Psychological and Behavioural Sciences (BA|*|BSc|*|) as core [Active]; 
MJD-HSDEM Human Sciences and Data Analytics (BHumSc|*|) as option [Active]; 
MJD-HSNEM Human Science and Neuroscience (BHumSc|*|) as core [Active]; 
MJD-CRMDM Criminology and Criminal Justice (BCRMCJ|*|) as option [Active]; 
MNR-BDSCI Behavioural Data Science () as core [Active];",Nil.,2039,Nil.,2040,Nil.,2039
ECON3303,"Applied Macroeconomics",159639,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as core [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as option [Active];","ECON2234 Macroeconomics: Policy and Applications",,Nil.,,"ECON3365 Macroeconomic Theory",
CITS2401,"Computer Analysis and Visualisation",162462;162463,"MJD-ENGSC Engineering Science (BSc|*|) as core in Biomedical [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Chemical [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Civil [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Electrical [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Environmental [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Mechanical [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Mining [Active]; 
MJD-IEMDM Integrated Earth and Marine Sciences (BEarthSc|*|) as core [Active]; 
MJD-MLSDM Molecular Life Sciences (BMolSc|*|) as core [Active]; 
MJD-ECHEM Chemical Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-EELEC Electrical and Electronic Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-EENVE Environmental Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-EMECH Mechanical Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
MJD-EMINE Mining Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|BE (Hons) - BA|*|BE (Hons) - BModLang|*|) as core [Active]; 
71590 Master of Oceanography (coursework or coursework and dissertation) as conversion [Active]; 
73660 Master of Medical Physics (coursework and dissertation) [Conversion] [Active];","ATAR Mathematics Methods or MATH1721 Mathematics Foundations: Methods or equivalent or higher",112449;112450;112451;112452;112453;112454;112455;112456;112457;112458;112459,Nil.,41540,Nil.,112449;112450;112451;112452;112453;112454;112455;112456;112457;112458;112459
ENSC3014,"Electronic Materials and Devices",162464,"MJD-ENGSC Engineering Science (BSc|*|) as core in Electrical [Active];","(ENSC2001 Motion or ENSC2003 Engineering Electrical Fundamentals) and (MATH1002 Mathematical Methods 2 or MATH1012 Mathematical Theory and Methods) and PHYS1001 Physics for Scientists and Engineers.",209062;209063;209064;209065;209066;209067;209068;209069;209070;209071;209072;209073;209074;209075;209076,Nil.,,Nil.,209062;209063;209064;209065;209066;209067;209068;209069;209070;209071;209072;209073;209074;209075;209076
ENSC3015,"Signals and Systems",162465,"MJD-ENGSC Engineering Science (BSc|*|) as core in Biomedical [Active]; 
MJD-ENGSC Engineering Science (BSc|*|) as core in Electrical [Active];","(CITS1001 Software Engineering with Java or CITS2401 Computer Analysis and Visualisation) and (ENSC2002 Energy or ENSC2003 Engineering Electrical Fundamentals) and (MATH1002 Mathematical Methods 2 or MATH1012 Mathematical Theory and Methods).",209132;209133;209134;209135;209136;209137;209138;209139;209140;209141;209142;209143;209144;209145;209146;209147,Nil.,36975,Nil.,209132;209133;209134;209135;209136;209137;209138;209139;209140;209141;209142;209143;209144;209145;209146;209147
